"neuron";"scanned.paper.id";"neuromorpho.name";"species";"area";"layer";"rotated";"archive";"original.type";"paper"
114;"";"C230998C-I2";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
115;"lund1987fig16N2";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
116;"CCfig5bN1";"";"Monkey";"Somatosensory";"III";FALSE;NA;NA;NA
117;"kisvarday1986fig2N6";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
118;"lund1987fig13N2";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
119;"";"C090997A-I2";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
120;"";"GA05505-1";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
121;"";"C170500A-I4";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
122;"";"C020600C1";"Rat";"Somatosensory";"IV";TRUE;"Markram";"Bitufted cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
123;"";"MD070620-2";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Not reported";"Two-photon photostimulation and imaging of neural circuits"
124;"CCfig11N1";"";"Cat";"Visual";"II/III";FALSE;NA;NA;NA
125;"";"GA02531-C3";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
126;"";"C280998A-I2";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
127;"";"C060400C1";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
